enterprise_id,week_start,week_of_year,inflow_total,inflow_upi,inflow_cash,txn_count,counterparty_count,top_cp_share,outflow_inventory,outflow_fixed,outflow_emi,outflow_total,net_cash_flow,closing_balance,mandi_price_index,rainfall_mm,festival_intensity
ENT0001,2025-05-05,19,12236.86,6882.39,5354.48,50,46,0.1713,7358.95,1829.74,2210.62,11399.3,837.56,30635.41,94.08,16.6,0.254
ENT0001,2025-05-12,20,15518.95,8465.62,7053.33,59,52,0.2218,9330.23,1860.84,2210.62,13401.68,2117.27,30937.18,93.83,19.7,0.17
ENT0001,2025-05-19,21,13692.86,8592.78,5100.08,58,49,0.1763,8240.64,1868.49,2210.62,12319.75,1373.11,30719.45,94.78,23.1,0.097
ENT0001,2025-05-26,22,12712.01,6954.84,5757.17,47,47,0.1859,7657.0,1891.75,2210.62,11759.37,952.64,30327.93,95.6,23.2,0.047
ENT0001,2025-06-02,23,11817.07,6610.78,5206.29,53,45,0.1735,7130.14,1792.94,2210.62,11133.7,683.37,29779.75,97.26,34.5,0.02
ENT0001,2025-06-09,24,12830.73,7717.44,5113.29,48,48,0.2162,7739.25,1725.74,2210.62,11675.6,1155.13,29858.07,96.94,36.9,0.011
ENT0001,2025-06-16,25,13797.61,7338.83,6458.78,51,50,0.1811,8321.32,2001.82,2210.62,12533.76,1263.85,29927.15,96.81,39.6,0.022
ENT0001,2025-06-23,26,11465.74,7211.96,4253.77,37,44,0.1862,6914.23,2090.24,2210.62,11215.09,250.65,29357.27,96.7,55.5,0.062
ENT0001,2025-06-30,27,12713.82,7789.52,4924.3,51,47,0.2073,7678.3,1887.38,2210.62,11776.3,937.52,29472.18,98.16,59.3,0.12
ENT0001,2025-07-07,28,14162.2,8838.97,5323.23,50,49,0.1949,8573.63,1727.4,2210.62,12511.65,1650.56,29726.93,100.55,49.7,0.15
ENT0001,2025-07-14,29,10388.44,6410.52,3977.91,36,41,0.1821,6289.75,1775.64,2210.62,10276.0,112.43,28794.71,100.66,61.8,0.12
ENT0001,2025-07-21,30,12267.67,7344.62,4923.05,50,47,0.2054,7429.05,1893.21,2210.62,11532.88,734.79,28611.55,100.87,69.3,0.062
ENT0001,2025-07-28,31,11623.22,6681.36,4941.86,47,44,0.234,7046.72,1973.63,2210.62,11230.96,392.25,28376.36,102.01,68.9,0.021
ENT0001,2025-08-04,32,11922.39,7221.54,4700.85,48,46,0.1896,7231.58,1737.03,2210.62,11179.22,743.17,28353.58,102.5,66.5,0.005
ENT0001,2025-08-11,33,11548.8,6742.76,4806.04,41,45,0.1855,7018.55,1834.19,2210.62,11063.35,485.45,27989.15,104.5,57.1,0.004
ENT0001,2025-08-18,34,12414.26,7831.95,4582.31,45,46,0.1866,7530.16,1863.8,2210.62,11604.57,809.69,28031.13,102.53,47.3,0.011
ENT0001,2025-08-25,35,15070.97,9701.09,5369.88,55,51,0.2094,9139.83,1927.16,2210.62,13277.61,1793.36,28755.42,102.33,40.6,0.029
ENT0001,2025-09-01,36,12074.2,8053.33,4020.87,48,45,0.1712,7321.25,1814.19,2210.62,11346.06,728.14,28410.05,102.16,43.4,0.066
ENT0001,2025-09-08,37,13207.89,8413.78,4794.1,55,45,0.1776,7992.41,1706.81,2210.62,11909.84,1298.05,28773.46,100.11,37.7,0.135
ENT0001,2025-09-15,38,16369.22,10751.35,5617.86,62,54,0.1525,9901.05,1903.85,2210.62,14015.52,2353.7,29839.21,99.67,37.4,0.25
ENT0001,2025-09-22,39,13329.11,8308.61,5020.5,57,48,0.1595,8058.8,1952.4,2210.62,12221.81,1107.29,29908.66,99.25,30.9,0.412
ENT0001,2025-09-29,40,18255.03,11338.22,6916.81,71,58,0.1729,11041.23,1838.02,2210.62,15089.86,3165.17,31535.97,99.63,18.6,0.612
ENT0001,2025-10-06,41,16235.09,10599.11,5635.99,59,52,0.1821,9838.17,1883.4,2210.62,13932.19,2302.9,32350.75,101.54,7.7,0.821
ENT0001,2025-10-13,42,20502.01,12921.17,7580.84,79,63,0.2186,12426.4,1802.35,2210.62,16439.37,4062.65,34336.17,101.75,9.6,1.007
ENT0001,2025-10-20,43,19090.77,12468.19,6622.57,77,57,0.1939,11561.68,1769.2,2210.62,15541.51,3549.26,35392.81,100.93,9.9,1.146
ENT0001,2025-10-27,44,18624.9,11480.04,7144.86,77,56,0.165,11282.78,1942.82,2210.62,15436.21,3188.69,36366.43,101.22,5.0,1.219
ENT0001,2025-11-03,45,17868.3,11166.98,6701.33,71,54,0.1686,10841.07,1881.73,2210.62,14933.42,2934.88,37183.94,102.78,0.9,1.198
ENT0001,2025-11-10,46,16172.39,10894.74,5277.65,60,50,0.2107,9802.56,1891.44,2210.62,13904.61,2267.78,37238.19,101.78,4.6,1.057
ENT0001,2025-11-17,47,16230.47,11108.03,5122.44,59,55,0.2057,9828.13,1989.58,2210.62,14028.33,2202.14,37516.31,100.79,0.0,0.808
ENT0001,2025-11-24,48,16190.09,10222.66,5967.43,62,55,0.1838,9810.56,1750.81,2210.62,13771.99,2418.11,37544.85,101.5,0.0,0.522
ENT0001,2025-12-01,49,13572.7,9287.73,4284.97,57,49,0.1744,8221.92,1795.38,2210.62,12227.92,1344.78,36779.6,101.18,2.8,0.282
ENT0001,2025-12-08,50,12496.82,8140.26,4356.56,48,45,0.2057,7575.07,1860.26,2210.62,11645.95,850.87,35427.33,101.84,0.0,0.134
ENT0001,2025-12-15,51,12314.05,8263.41,4050.64,47,49,0.1633,7462.6,1794.28,2210.62,11467.5,846.56,34141.57,101.61,1.8,0.082
ENT0001,2025-12-22,52,14175.62,10153.43,4022.19,52,49,0.191,8595.55,1919.33,2210.62,12725.49,1450.13,33391.09,102.17,1.8,0.119
ENT0001,2025-12-29,1,14951.29,10483.37,4467.92,54,50,0.2287,9051.42,1828.41,2210.62,13090.46,1860.84,32939.94,100.56,0.0,0.205
ENT0001,2026-01-05,2,12475.64,8783.0,3692.64,45,49,0.1873,7549.41,1756.27,2210.62,11516.29,959.35,31920.65,100.12,0.0,0.251
ENT0001,2026-01-12,3,12161.2,9006.48,3154.72,45,47,0.1677,7353.76,1851.71,2210.62,11416.08,745.13,30922.97,99.39,8.7,0.201
ENT0001,2026-01-19,4,13120.95,8730.72,4390.23,55,51,0.1914,7918.35,1861.41,2210.62,11990.38,1130.58,30351.64,97.44,0.0,0.103
ENT0001,2026-01-26,5,14358.53,9478.57,4879.96,52,50,0.1738,8644.02,1933.93,2210.62,12788.56,1569.97,30376.79,95.08,0.0,0.035
ENT0001,2026-02-02,6,13687.52,9187.6,4499.92,51,48,0.1553,8241.84,1882.26,2210.62,12334.72,1352.8,30393.41,95.28,0.0,0.016
ENT0001,2026-02-09,7,10204.94,6972.72,3232.22,34,39,0.205,6138.36,1888.68,2210.62,10237.65,-32.71,29548.22,94.29,0.3,0.042
ENT0001,2026-02-16,8,10977.05,6786.77,4190.28,43,37,0.2211,6590.42,1875.42,2210.62,10676.46,300.59,28982.72,92.53,0.3,0.124
ENT0001,2026-02-23,9,10048.39,6839.78,3208.61,42,36,0.2003,6028.23,1828.34,2210.62,10067.19,-18.8,28086.62,91.83,0.0,0.242
ENT0001,2026-03-02,10,10264.74,6862.71,3402.03,44,37,0.2068,6162.37,1780.7,2210.62,10153.69,111.05,27507.68,92.48,7.7,0.307
ENT0001,2026-03-09,11,11462.77,8097.55,3365.21,43,36,0.2029,6858.46,1872.47,2210.62,10941.55,521.22,27352.8,89.41,0.0,0.26
ENT0001,2026-03-16,12,7516.66,5197.64,2319.01,30,27,0.2269,4486.62,1815.14,2210.62,8512.37,-995.72,26010.4,87.29,3.4,0.171
ENT0001,2026-03-23,13,6679.79,4414.61,2265.18,24,22,0.2265,3980.43,2008.34,2210.62,8199.39,-1519.6,24400.96,85.84,10.9,0.138
ENT0001,2026-03-30,14,6800.51,4723.72,2076.79,27,22,0.2253,4057.37,1973.73,2210.62,8241.72,-1441.21,22959.75,86.91,0.0,0.179
ENT0001,2026-04-06,15,7127.02,4964.77,2162.25,27,22,0.2911,4251.65,1904.96,2210.62,8367.22,-1240.2,21719.56,86.8,0.9,0.255
ENT0001,2026-04-13,16,7546.47,4943.31,2603.15,28,22,0.2626,4504.23,1880.88,2210.62,8595.73,-1049.26,20670.29,87.26,0.0,0.323
ENT0001,2026-04-20,17,7447.49,4963.81,2483.68,28,22,0.2647,4437.64,1837.53,2210.62,8485.79,-1038.29,19632.0,85.79,0.8,0.35
ENT0001,2026-04-27,18,7915.15,4889.42,3025.73,31,21,0.2709,4708.83,1732.84,2210.62,8652.28,-737.14,18894.86,84.44,6.3,0.323
ENT0001,2026-05-04,19,5652.23,3702.0,1950.23,19,20,0.2687,3363.87,1825.78,2210.62,7400.27,-1748.04,17146.82,84.77,19.4,0.254
ENT0001,2026-05-11,20,7406.79,4952.18,2454.61,26,17,0.245,4408.09,1855.01,2210.62,8473.72,-1066.93,16079.89,84.77,25.0,0.17
ENT0001,2026-05-18,21,6212.7,4325.85,1886.86,29,20,0.2587,3699.97,1866.92,2210.62,7777.51,-1564.81,14515.08,85.35,15.4,0.097
ENT0001,2026-05-25,22,6905.4,4629.94,2275.45,36,25,0.2455,4112.07,1889.47,2210.62,8212.16,-1306.76,13208.32,85.26,32.8,0.047
ENT0001,2026-06-01,23,5709.78,3929.57,1780.21,16,17,0.2573,3401.95,1932.64,2210.62,7545.2,-1835.42,11372.9,85.73,25.7,0.02
ENT0001,2026-06-08,24,6638.86,4458.91,2179.94,19,21,0.253,3957.45,1782.85,2210.62,7950.91,-1312.05,10060.85,86.15,40.2,0.011
ENT0001,2026-06-15,25,7044.75,5060.31,1984.44,22,23,0.2361,4204.95,1783.66,2210.62,8199.22,-1154.47,8906.38,87.29,33.3,0.022
ENT0001,2026-06-22,26,8041.41,5876.06,2165.35,29,24,0.2148,4806.74,1984.49,2210.62,9001.85,-960.44,7945.94,88.56,38.4,0.062
ENT0001,2026-06-29,27,6313.64,4639.28,1674.36,27,24,0.2419,3768.68,1918.16,2210.62,7897.46,-1583.82,6362.12,87.32,43.1,0.12
ENT0001,2026-07-06,28,7606.93,5536.93,2070.0,30,26,0.2325,4531.18,1809.92,2210.62,8551.72,-944.78,5417.34,85.52,62.4,0.15
ENT0001,2026-07-13,29,6930.18,4754.48,2175.7,26,25,0.1964,4135.78,1835.76,2210.62,8182.16,-1251.97,4165.36,87.13,50.1,0.12
ENT0002,2024-07-22,30,55174.31,13274.86,41899.46,221,2,0.9021,29504.48,6024.92,0.0,35529.41,19644.9,150528.11,96.73,74.9,0.062
ENT0002,2024-07-29,31,43214.0,10078.94,33135.07,175,3,0.9196,23129.82,6521.56,0.0,29651.39,13562.62,147618.04,97.08,68.2,0.021
ENT0002,2024-08-05,32,48624.33,11955.64,36668.69,195,2,0.907,26155.36,6596.0,0.0,32751.36,15872.97,147460.29,99.03,74.0,0.005
ENT0002,2024-08-12,33,52405.76,14355.93,38049.83,208,1,0.9145,28291.61,6174.93,0.0,34466.54,17939.22,149346.41,100.48,67.6,0.004
ENT0002,2024-08-19,34,38938.21,9191.94,29746.27,157,1,0.8905,21148.2,6691.44,0.0,27839.64,11098.57,144739.04,102.93,69.0,0.011
ENT0002,2024-08-26,35,43902.51,12541.32,31361.18,177,3,0.9482,23881.19,6053.17,0.0,29934.36,13968.15,143160.07,103.56,56.6,0.029
ENT0002,2024-09-02,36,45800.34,15095.49,30704.85,183,1,0.8952,24910.49,6362.32,0.0,31272.82,14527.52,142556.9,103.51,36.4,0.066
ENT0002,2024-09-09,37,70827.29,18868.42,51958.87,289,1,0.9379,38569.92,5930.85,0.0,44500.76,26326.53,151268.89,104.02,38.9,0.135
ENT0002,2024-09-16,38,66822.58,15408.17,51414.4,274,2,0.903,36481.74,5912.08,0.0,42393.83,24428.75,156304.47,105.09,25.9,0.25
ENT0002,2024-09-23,39,76407.33,17820.57,58586.76,311,2,0.923,41807.93,5864.12,0.0,47672.05,28735.28,165586.3,106.03,23.8,0.412
ENT0002,2024-09-30,40,48178.81,14430.94,33747.87,193,1,0.9215,26317.96,5472.32,0.0,31790.28,16388.54,163908.75,105.32,30.6,0.612
ENT0002,2024-10-07,41,55217.9,15300.75,39917.15,225,1,0.9298,30214.52,6469.4,0.0,36683.92,18533.98,164736.8,106.04,20.6,0.821
ENT0002,2024-10-14,42,91726.1,28238.18,63487.92,369,2,0.89,50289.54,5874.65,0.0,56164.19,35561.91,180787.35,106.88,8.6,1.007
ENT0002,2024-10-21,43,46855.41,12566.51,34288.9,183,1,0.9283,25911.93,5827.9,0.0,31739.83,15115.58,179260.8,110.64,3.4,1.146
ENT0002,2024-10-28,44,112843.48,35182.75,77660.73,457,1,0.9437,62813.95,5718.63,0.0,68532.59,44310.89,202300.45,113.57,7.1,1.219
ENT0002,2024-11-04,45,59868.11,17048.89,42819.21,241,1,0.9016,33263.89,6004.51,0.0,39268.4,20599.71,200545.77,112.73,0.0,1.198
ENT0002,2024-11-11,46,103623.3,27999.67,75623.62,427,1,0.9075,57554.94,6625.35,0.0,64180.29,39443.0,214436.82,112.58,0.0,1.057
ENT0002,2024-11-18,47,69105.9,19543.83,49562.07,284,1,0.8963,38226.69,6735.67,0.0,44962.36,24143.54,213039.45,110.75,4.2,0.808
ENT0002,2024-11-25,48,99056.34,25911.79,73144.54,402,1,0.8999,54702.55,5582.77,0.0,60285.32,38771.02,227005.83,110.01,8.4,0.522
ENT0002,2024-12-02,49,150075.38,54002.69,96072.69,605,1,0.941,82946.91,5959.62,0.0,88906.53,61168.85,258184.74,110.38,4.6,0.282
ENT0002,2024-12-09,50,46292.41,13884.17,32408.24,187,1,0.8867,25670.74,5760.42,0.0,31431.16,14861.24,244382.77,111.86,0.0,0.134
ENT0002,2024-12-16,51,85283.91,27700.93,57582.99,339,1,0.888,47165.88,6373.48,0.0,53539.36,31744.56,251823.91,110.66,2.2,0.082
ENT0002,2024-12-23,52,50435.08,14728.31,35706.77,196,1,0.939,27819.05,6153.73,0.0,33972.78,16462.3,238665.17,109.49,0.7,0.119
ENT0002,2024-12-30,1,80964.64,22607.89,58356.75,322,1,0.9193,44333.52,5876.14,0.0,50209.66,30754.98,242209.81,106.34,2.6,0.205
ENT0002,2025-01-06,2,70827.81,21703.86,49123.95,285,2,0.9492,38724.27,6088.23,0.0,44812.49,26015.31,236309.44,105.7,9.8,0.251
ENT0002,2025-01-13,3,74299.42,25941.03,48358.38,290,1,0.8978,40445.63,5923.09,0.0,46368.72,27930.7,234861.92,103.87,0.0,0.201
ENT0002,2025-01-20,4,57672.44,17482.96,40189.48,230,1,0.9093,31304.01,6576.09,0.0,37880.1,19792.34,224256.67,102.68,0.0,0.103
ENT0002,2025-01-27,5,79751.62,23551.19,56200.44,320,1,0.8936,43113.84,6234.36,0.0,49348.21,30403.42,213332.53,101.03,3.6,0.035
ENT0002,2025-02-03,6,48887.25,16071.43,32815.82,196,1,0.9097,26381.55,6272.78,0.0,32654.33,16232.92,202108.63,100.31,0.0,0.016
ENT0002,2025-02-10,7,84343.16,28820.89,55522.27,337,1,0.8713,45205.06,5308.89,0.0,50513.95,33829.2,204208.88,97.61,9.1,0.042
ENT0002,2025-02-17,8,59109.6,22383.8,36725.8,236,5,0.9205,31491.23,6045.95,0.0,37537.18,21572.41,200514.06,95.29,2.6,0.124
ENT0002,2025-02-24,9,48503.92,16620.76,31883.17,202,1,0.9133,25964.67,6732.11,0.0,32696.78,15807.14,191318.12,97.13,5.7,0.242
ENT0002,2025-03-03,10,89976.56,31854.75,58121.81,365,1,0.9057,47903.13,6482.04,0.0,54385.17,35591.39,198840.61,95.03,0.0,0.307
ENT0002,2025-03-10,11,61094.61,21929.95,39164.66,243,2,0.899,32369.2,5531.03,0.0,37900.23,23194.38,194255.62,93.21,6.4,0.26
ENT0002,2025-03-17,12,89612.23,27371.17,62241.05,360,3,0.8889,47669.69,5971.85,0.0,53641.55,35970.68,202383.2,94.72,8.7,0.171
ENT0002,2025-03-24,13,76285.51,23937.55,52347.96,307,2,0.9214,40878.55,5712.48,0.0,46591.03,29694.48,202474.59,97.53,4.9,0.138
ENT0002,2025-03-31,14,48903.08,15298.37,33604.71,194,1,0.8834,26080.05,6608.02,0.0,32688.07,16215.01,196315.67,95.68,6.5,0.179
ENT0002,2025-04-07,15,56353.81,17359.29,38994.52,224,1,0.9171,29986.31,6140.72,0.0,36127.04,20226.77,191352.46,94.83,9.0,0.255
ENT0002,2025-04-14,16,58545.78,21927.01,36618.77,239,4,0.9483,31154.41,5837.71,0.0,36992.12,21553.66,189526.55,94.85,5.2,0.323
ENT0002,2025-04-21,17,78105.85,28276.16,49829.69,313,2,0.9365,41746.39,6076.55,0.0,47822.94,30282.91,196885.26,96.54,13.5,0.35
ENT0002,2025-04-28,18,60438.29,21658.98,38779.31,239,1,0.8767,32189.08,5324.72,0.0,37513.8,22924.5,192225.17,95.18,18.4,0.323
ENT0002,2025-05-05,19,55478.73,15581.6,39897.13,223,1,0.8961,29515.03,5745.86,0.0,35260.89,20217.84,188102.08,94.76,27.6,0.254
ENT0002,2025-05-12,20,49884.74,21099.31,28785.43,201,1,0.9152,26597.13,6077.24,0.0,32674.37,17210.37,179025.28,95.59,38.5,0.17
ENT0002,2025-05-19,21,50388.36,16987.28,33401.08,195,2,0.9054,26903.04,6328.18,0.0,33231.22,17157.15,171128.58,96.12,34.3,0.097
ENT0002,2025-05-26,22,65712.2,28135.85,37576.35,264,1,0.8788,35056.27,5505.03,0.0,40561.31,25150.89,173348.04,95.81,49.0,0.047
ENT0002,2025-06-02,23,49384.79,16089.3,33295.5,202,1,0.9145,26349.81,5951.66,0.0,32301.47,17083.32,169596.96,95.87,68.3,0.02
ENT0002,2025-06-09,24,45124.85,15683.5,29441.35,183,1,0.9066,23996.34,6380.28,0.0,30376.63,14748.22,164965.57,94.59,64.8,0.011
ENT0002,2025-06-16,25,43729.71,13490.74,30238.97,185,1,0.9451,23260.84,5641.53,0.0,28902.37,14827.34,157641.96,94.7,73.9,0.022
ENT0002,2025-06-23,26,44384.41,17226.05,27158.36,183,3,0.9017,23618.33,6136.09,0.0,29754.42,14629.99,152033.56,94.85,89.0,0.062
ENT0002,2025-06-30,27,37953.2,13164.72,24788.48,158,1,0.9302,20237.97,6086.22,0.0,26324.19,11629.01,145598.49,95.64,100.4,0.12
ENT0002,2025-07-07,28,44317.44,15527.64,28789.8,189,1,0.8815,23628.65,6609.1,0.0,30237.75,14079.7,143089.74,95.59,101.2,0.15
ENT0002,2025-07-14,29,71973.13,24762.07,47211.06,293,1,0.8863,38492.85,5996.77,0.0,44489.63,27483.51,151219.18,96.78,112.8,0.12
ENT0002,2025-07-21,30,50873.42,20919.17,29954.25,205,1,0.9212,27340.28,6014.35,0.0,33354.63,17518.79,148382.99,98.67,111.2,0.062
ENT0002,2025-07-28,31,62508.49,25746.12,36762.37,255,1,0.9285,33672.64,6331.12,0.0,40003.76,22504.73,151500.97,99.61,109.8,0.021
ENT0002,2025-08-04,32,32700.44,14635.32,18065.12,129,1,0.8877,17668.63,5676.93,0.0,23345.57,9354.87,144936.89,100.82,104.5,0.005
ENT0002,2025-08-11,33,63635.24,23881.25,39753.99,256,2,0.9073,34457.73,5999.55,0.0,40457.28,23177.96,151473.01,101.69,109.3,0.004
ENT0002,2025-08-18,34,56256.3,22788.16,33468.14,224,1,0.8792,30523.66,5929.51,0.0,36453.17,19803.13,154779.84,102.52,86.5,0.011
ENT0002,2025-08-25,35,54170.2,19636.22,34533.98,219,3,0.9032,29387.07,6024.19,0.0,35411.26,18758.94,158332.33,102.45,66.9,0.029
ENT0002,2025-09-01,36,64394.05,25356.98,39037.07,256,1,0.9236,35035.45,6329.04,0.0,41364.49,23029.56,165010.08,103.66,78.9,0.066
ENT0002,2025-09-08,37,58293.82,22788.36,35505.46,232,1,0.8981,31767.56,6236.61,0.0,38004.16,20289.66,165032.93,104.33,56.6,0.135
ENT0002,2025-09-15,38,43834.01,18545.27,25288.73,178,1,0.9018,24081.74,5843.29,0.0,29925.04,13908.97,161156.38,107.76,50.4,0.25
ENT0002,2025-09-22,39,88663.79,39217.32,49446.46,356,2,0.8842,49024.61,6107.78,0.0,55132.39,33531.4,172589.76,110.56,48.5,0.412
ENT0002,2025-09-29,40,82091.67,36464.68,45626.99,323,4,0.8938,45515.05,6535.51,0.0,52050.56,30041.11,184178.26,111.78,22.9,0.612
ENT0002,2025-10-06,41,77290.38,30285.2,47005.19,305,1,0.942,42816.29,5819.18,0.0,48635.48,28654.91,191137.72,111.4,17.8,0.821
ENT0002,2025-10-13,42,70762.41,31824.21,38938.2,280,1,0.9083,39119.05,6110.37,0.0,45229.42,25532.98,195329.95,110.48,9.7,1.007
ENT0002,2025-10-20,43,66695.17,28086.33,38608.84,265,2,0.8868,37043.1,6007.87,0.0,43050.97,23644.19,198501.45,112.56,9.6,1.146
ENT0002,2025-10-27,44,98087.84,40741.55,57346.28,396,1,0.9005,54571.37,6047.1,0.0,60618.46,37469.38,211650.62,113.33,13.1,1.219
